id,SMILES,Tm,source
2243,COS(=O)(=O)Cl,NaN,wiki
1780,Cc1ccc(cc1)S(=O)(=O)c2ccc(C)cc2,NaN,wiki
2617,Clc1cc(Cl)c2ccccc2c1O,NaN,wiki
1380,OCc1ccc(F)cc1,NaN,wiki
936,CCCCCCCCCC(=O)Cl,NaN,wiki
3285,CCc1cccc2CCCCc12,492.15,wiki
2558,CCCCCCCCCCCCCCC1CCCCC1,NaN,wiki
2720,CO[Si](OC)OC,NaN,wiki
2067,BrCCCCCCCCCCCCCCC,NaN,wiki
1443,O=C1CCCCCC1,NaN,wiki
797,O=C1C=COC=C1,NaN,wiki
1767,CCCCS(=O)(=O)CCCC,NaN,wiki
1984,OCCC(C)(C)C,213.15,wiki
2326,O=C(O)CCC1=CC=CO1,NaN,wiki
2455,Cc1cc(O)c(cc1C)C(C)(C)C,NaN,wiki
3092,Cc1cccc2ncccc12,271.15,wiki
1500,O=C1CCc2ccccc2C1,NaN,wiki
2012,CC1CCNCC1,NaN,wiki
886,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,235.15,wiki
1908,COC(=O)CC(=C)C(=O)OC,NaN,wiki
3115,C=CC(C)(C)C(=O)O,NaN,wiki
2307,C=COC(C)(C)C,NaN,wiki
1617,O=C(N)C(C)C,NaN,wiki
469,OCCN(C(C)C)C(C)C,NaN,wiki
2490,C=CC=CC,186.15,wiki
3295,Brc1cc(C)cc(c1)N(=O)=O,NaN,wiki
1608,CCC(C)(C)C(=C)C,NaN,wiki
2934,ClCCCCCCCCCCCCCCCC,NaN,wiki
800,CN1CCNCC1,267.15,wiki
1975,Ic1ccc(I)cc1,NaN,wiki
1375,O=C(F)c1ccccc1,NaN,wiki
